Moleculas_Produto (Y),Matched_Price_File_Produto (X),Assigned_Price (Z),Similarity_Score,Price_Source_File
"CARVEDILOL 6,25MG C/30 COMP TOR","CARVEDILOL 6,25MG 30CPD G GER","R$ 6,21",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CELECOXIBE 200MG C/10 CAPS TEU,CELECOXIBE 200MG 10CAP (C1) G GER,"R$ 8,94",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CELECOXIBE 200MG C/30 CAPS EURO,CELECOXIBE 200MG 30CAP (C1) G GER,"R$ 25,04",95.08% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CETOPROFENO 150MG C/10 COMP,CETOPROFENO 150MG 10CPD LB G GER,"R$ 7,43",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CICLOPIROX OLAMINA 15ML SOL PRATI,CICLOPIROX OLAMINA SOL TOP 15ML G GER,"R$ 10,15",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CL. CICLOBENZAPRINA   5MG C/15 COMP BIO,CICLOBENZAPRINA 5MG 15CPD G GER,"R$ 4,52",92.11% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CL. CICLOBENZAPRINA  10MG C/15 COMP PRATI,CICLOBENZAPRINA 10MG 15CPD G GER,"R$ 5,87",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CL. CIPROFLOXACINO 500MG C/14 COMP ZYD,CIPROFLOXACINO 500MG 14CPD (AM) G GER,"R$ 11,83",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CL. CLOMIPRAMINA 25MG C/20 COMP EMS,CLOMIPRAMINA 25MG 20CPD (C1) G GER,"R$ 28,00",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CL. DULOXETINA 30MG C/30 CAPS EURO,DULOXETINA 30MG 30CAP (C1) G GER,"R$ 36,48",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CL. FEXOFENADINA 120MG C/10 COMP CIMED,FEXOFENADINA 120MG 10CPD G GER,"R$ 7,84",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CL. FEXOFENADINA 180MG C/10 COMP RAN,FEXOFENADINA 180MG 10CPD G GER,"R$ 10,92",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CL. FLUOXETINA 20MG C/30 CAPS PHAR,FLUOXETINA 20MG 30CAP (C1) G GER,"R$ 6,26",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CL. FLUOXETINA 20MG C/30 COMP PHAR,FLUOXETINA 20MG 30CPD (C1) G GER,"R$ 5,97",90.91% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CL. HIDROXIZINA 25MG C/30 COMP EMS,HIDROXIZINA 25MG 30CPD G GER,"R$ 29,80",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CL. NEBIVOLOL 5MG C/30 COMP BLAB,NEBIVOLOL 5MG 30CPD G GER,"R$ 16,50",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CL. ONDANSETRONA 4MG C/10 COMP NEO,ONDANSETRONA 4MG 10CPD ODT G GER,"R$ 7,02",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CL. ONDANSETRONA 8MG C/10 COMP NEO,ONDANSETRONA 8MG 10CPD ODT G GER,"R$ 12,25",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CL. PAROXETINA 20MG C/30 COMP ZYD,PAROXETINA 20MG 30CPD (C1) G GER,"R$ 11,63",91.18% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CL. PIOGLITAZONA 30MG C/30 COMP TOR,PIOGLITAZONA 30MG 30CPD G GER,"R$ 63,27",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CL. PIOGLITAZONA 45MG C/15 COMP EMS,PIOGLITAZONA 45MG 15CPD G GER,"R$ 116,99",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CL. PROPRANOLOL 40MG C/60 COMP GMD,PROPRANOLOL 40MG 60CPD G GER,"R$ 11,40",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CL. SERTRALINA 100MG C/30COMP EURO,SERTRALINA 100MG 30CPD (C1) G GER,"R$ 22,48",97.06% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
"CL. TANSULOSINA 0,4MG C/30 COMP NEO","TANSULOSINA 0,4MG 30CPD LP G GER","R$ 35,49",94.29% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
"CL. TANSULOSINA 0,4MG C/60 CAPS GEO","TANSULOSINA 0,4MG 60CPD LP G GER","R$ 65,90",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CL. TRAMADOL  50MG C/10 COMP TEU,TRAMADOL 50MG 10CAP (A2) G GER,"R$ 6,12",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CL. TRAMADOL 100MG C/10 COMP TEU,TRAMADOL 100MG 10CPD (A2) LIB PROL G GER,"R$ 56,74",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CL. TRAMADOL+PARACETAMOL C 10 COMP,TRAMADOL+PARACETAMOL 10CPD (A2) G GER,"R$ 13,41",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CL. TRAMADOL+PARACETAMOL C 20 COMP,TRAMADOL+PARACETAMOL 20CPD (A2) G GER,"R$ 24,59",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CL. TRAMADOL+PARACETAMOL C 30 COMP,TRAMADOL+PARACETAMOL 30CPD (A2) G GER,"R$ 32,81",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CL. VENLAFAXINA 150MG C/30 CAPS G NVQ,VENLAFAXINA 150MG 30CAP (C1) G GER,"R$ 43,34",90.14% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CL. VERAPAMIL 80MG C/30 COMP BIO,VERAPAMIL 80MG 30CPD G GER,"R$ 12,28",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CLONAZEPAM 2 MG C/30 COMP GEO,CLONAZEPAM 2MG 30CPD (B1) G GER,"R$ 3,84",91.23% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CLORTALIDONA 50MG C/30 COMP EMS,CLORTALIDONA 50MG 30CPD G GER,"R$ 19,58",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
DESLORATADINA 5MG C/10 COMP ZYD,DESLORATADINA 5MG 10CPD G GER,"R$ 7,82",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
DESOGESTREL 75MCG C/28 COMP SDZ,DESOGESTREL 75MCG 28CPD G GER,"R$ 8,40",96.67% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
DESOGESTREL 75MCG C/84 COMP EUR,DESOGESTREL 75MCG 84CPD G GER,"R$ 23,81",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
DIAZEPAM 10MG C/30 COMP PHAR,DIAZEPAM 10MG 30CPD (B1) G GER,"R$ 4,78",90.57% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
DICLOF. COLESTIRAMINA 70MG C/14 CAPS MED,DICLOF COLESTIRAMINA 70MG 14CAP G GER,"R$ 8,05",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
"DICLOF. DIETILAMONIO 11,6MG 60G GEL TEU","DICLOF DIETILAMON 11,6MG/G GEL 60G G GER","R$ 10,99",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
DICLOR. LEVOCETIRIZINA 5MG C/10 COMP EMS,DICLOR DE LEVOCETIRIZINA 5MG 10CPD G GER,"R$ 18,82",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
DIENOGESTE 2MG C/30 COMP GMD,DIENOGESTE 2MG 30CPD G GER,"R$ 19,95",96.30% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
DOMPERIDONA 10MG C/30 COMP EMS,DOMPERIDONA 10MG 30CPD G GER,"R$ 4,50",96.55% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
DOMPERIDONA 10MG C/60 COMP RBX,DOMPERIDONA 10MG 60CPD G GER,"R$ 8,40",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
ESPIRONOLACTONA  25MG C/30 COMP EMS,ESPIRONOLACTONA 25MG 30CPD G GER,"R$ 8,47",96.97% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
ESPIRONOLACTONA  50MG C/30 COMP EMS,ESPIRONOLACTONA 50MG 30CPD G GER,"R$ 16,79",96.97% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
ESPIRONOLACTONA 100MG 30 COMP EMS,ESPIRONOLACTONA 100MG 30CPD G GER,"R$ 37,99",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
ETODOLACO 400MG C/10 COMP GMD,ETODOLACO 400MG 10CPD G GER,"R$ 14,43",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
ETODOLACO 400MG C/20 COMP GMD,ETODOLACO 400MG 20CPD G GER,"R$ 28,88",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
ETORICOXIBE 90MG  7 COMP,ETORICOXIBE 90MG 7CPD (C1) G GER,"R$ 20,30",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
ETORICOXIBE 90MG 14 COMP,ETORICOXIBE 90MG 14CPD (C1) G GER,"R$ 40,21",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
EZETIMIBA+SINVASTATINA 10+20MG C/30CPR EMS,EZETIMIBA+SINVASTATI 10+20MG 30CPD G GER,"R$ 28,09",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
FENOFIBRATO 200MG C/30 COMP EMS,FENOFIBRATO 200MG 30CAP G GER,"R$ 90,00",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
FINASTERIDA 1 MG 30 COMP BIO,FINASTERIDA 1MG 30CPD G GER,"R$ 14,60",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
FLUCONAZOL 150 MG 2 COMP TEU,FLUCONAZOL 150MG 2CAP G GER,"R$ 6,26",92.31% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
GABAPENTINA 300 MG 30 CAPS BIO,GABAPENTINA 300MG 30CAP (C1) G GER,"R$ 19,82",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
GLIBENCLAMIDA 5 MG 30 COMP BIO,GLIBENCLAMIDA 5MG 30CPD G GER,"R$ 2,24",93.55% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
GLIMEPIRIDA 2 MG 30 COMP LEGRAND,GLIMEPIRIDA 2MG 30CPD G GER,"R$ 6,92",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
GLIMEPIRIDA 4MG C/30 COMP TEU,GLIMEPIRIDA 4MG 30CPD G GER,"R$ 10,00",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
HEMIF. QUETIAPINA  25MG C/30 COMP NOVA,QUETIAPINA 25MG 30CPD (C1) G GER,"R$ 7,74",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
HEMIF. QUETIAPINA 100MG C/30 COMP TEU,QUETIAPINA 100MG 30CPD (C1) G GER,"R$ 27,65",90.67% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
HEMIF. QUETIAPINA 200MG C/30 COMP NEO,QUETIAPINA 200MG 30CPD (C1) G GER,"R$ 49,64",90.67% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
HIDROCLOROTIAZIDA 25MG C/30 COMP NEO,HIDROCLOROTIAZIDA 25MG 30CPD G GER,"R$ 1,96",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
HIDROQUINONA 40 MG GEL 30 G LEG,HIDROQUINONA 40MG/G GEL 30G G GER,"R$ 42,58",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
IBANDRONATO DE SODIO 150MG 1COMP GERMED,IBANDRONATO SODIO 150MG 1CPD G GER,"R$ 17,81",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
"INDAPAMIDA 1,5MG C/30 COMP EURO","INDAPAMIDA 1,5MG 30CPD LP G GER","R$ 8,88",96.67% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
ITRACONAZOL 100 MG 4 COMP,ITRACONAZOL 100MG 4CAP G GER,"R$ 6,21",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
IVERMECTINA 6 MG 4 COMP GMD,IVERMECTINA 6MG 4CPD G GER,"R$ 4,49",92.59% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
LANSOPRAZOL 30 MG 28 CAPS EMS,LANSOPRAZOL 30MG 28CAP LR G GER,"R$ 37,40",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
LEVOFLOXACINO 500 MG  7 COMP LEG,LEVOFLOXACINO 500MG 7CPD (AM) G GER,"R$ 11,03",95.24% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
LORAZEPAM 2MG C/30 COMP GMD,LORAZEPAM 2MG 30CPD (B1) G GER,"R$ 6,04",94.34% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
"LOSARTANA + HCT  50 + 12,5MG C/30 COMP BIO","LOSARTANA+HCT 50+12,5MG 30CPD G GER","R$ 14,46",90.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
LOSARTANA 100 MG 30 COMP GERM,LOSARTANA 100MG 30CPD G GER,"R$ 24,90",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
MAL.DEXCLORF 2MG C/20 COMP NEO,MAL DEXCLORF 2MG 20CPD G GER,"R$ 5,77",90.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
MAL.ENALAPRIL  5MG C/30 COMP EMS,ENALAPRIL 5MG 30CPD G GER,"R$ 3,73",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
MAL.ENALAPRIL 10MG C/30 COMP ALTEF,ENALAPRIL 10MG 30CPD G GER,"R$ 3,14",90.91% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
MELOXICAM 15 MG 10 COMP BIO,MELOXICAM 15MG 10CPD G GER,"R$ 4,21",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
MES.DOXAZOSINA 2MG C/30 COMP GMD,DOXAZOSINA 2MG 30CPD G GER,"R$ 5,95",90.32% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
MESALAZINA  800 MG 30 COMP EMS,MESALAZINA 800MG 30CPD G GER,"R$ 80,00",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
MIRTAZAPINA 15MG C/30 COMP NOVA,MIRTAZAPINA ODT 15MG 30CPD (C1) G GER,"R$ 34,68",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
MIRTAZAPINA 30MG C/30 COMP NOVA,MIRTAZAPINA ODT 30MG 30CPD (C1) G GER,"R$ 55,93",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
NEBIVOLOL 5MG 30CPD G TRT,NEBIVOLOL 5MG 30CPD G GER,"R$ 16,50",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
NIMESULIDA 100 MG 12 COMP,NIMESULIDA 100MG 12CPD G GER,"R$ 2,07",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
NITAZOXANIDA 20MG 100ML EURO,NITAZOXANIDA 20MG/ML SP OR 100ML G GER,"R$ 22,90",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
NITAZOXANIDA 20MG 45ML GERMED,NITAZOXANIDA 20MG/ML SP OR 45ML G GER,"R$ 10,31",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
NITAZOXANIDA 500MG 6 COMP GER,NITAZOXANIDA 500MG 6CPD G GER,"R$ 19,70",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
NITRAZEPAM 5MG C/20 COMP GMD,NITRAZEPAM 5MG 20CPD (B1) G GER,"R$ 11,02",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
"OLANZAPINA  2,5MG 30 COMP BIOS","OLANZAPINA 2,5MG 30CPD (C1) G GER","R$ 15,09",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
OLANZAPINA  5MG 30COMP GERMED,OLANZAPINA 5MG 30CPD (C1) G GER,"R$ 22,27",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
OLANZAPINA 10MG C/30COMP NOVA,OLANZAPINA 10MG 30CPD (C1) G GER,"R$ 46,74",96.43% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
OLMESARTANA + ANLO 20+5 MG 30 COMP,OLMESARTANA MED+ANLOD 20+5MG 30CPD G GER,"R$ 35,98",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
OLMESARTANA + ANLO 40+10 MG 30 COMP,OLMESARTANA MED+ANLO 40+10MG 30CPD G GER,"R$ 44,99",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
OLMESARTANA + ANLO 40+5 MG 30 COMP,OLMESARTANA MED+ANLOD 40+5MG 30CPD G GER,"R$ 40,70",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
"OLMESARTANA + HCT 20/12,5MG C/30 NEO","OLMESARTANA MD+HCT 20+12,5MG 30CPD G GER","R$ 21,79",93.15% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
"OLMESARTANA + HCT 40/12,5MG C/30 COMP EMS","LOSARTANA+HCT 50+12,5MG 30CPD G GER","R$ 14,46",92.50% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
OLMESARTANA + HCT 40/25MG C/30 COMP NEO,OLMESARTANA MD+HCT 40+25MG 30CPD G GER,"R$ 26,71",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
OLMESARTANA 20MG C/30 COMP ALT,OLMESARTANA MEDOXOMILA 20MG 30CPD G GER,"R$ 16,40",94.92% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
OMEPRAZOL 20MG 28 CAPS EMS,OMEPRAZOL 20MG 28CAP G GER,"R$ 4,63",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
ORLISTATE 120 MG 30 CAPS. NEO,ORLISTATE 120MG 30CAP G GER,"R$ 54,99",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
ORLISTATE 120 MG 42 CAPS EMS,ORLISTATE 120MG 42CAP G GER,"R$ 77,17",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
ORLISTATE 120 MG 84 CAPS. PRATI,ORLISTATE 120MG 84CAP G GER,"R$ 131,95",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
PANTOPRAZOL 20MG C/28 COMP NOVA,PANTOPRAZOL 20MG 28CPD G GER,"R$ 6,73",96.67% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
PANTOPRAZOL 40 MG 28 COMP SANDOZ,PANTOPRAZOL 40MG 28CPD G GER,"R$ 8,58",96.67% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
PARACETAMOL 750MG C/20 COMP,PARACETAMOL 750MG 20CPD G GER,"R$ 7,15",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
PARACETAMOL BEBE GTS 15ML LEG,PARACETAMOL BEBE GTS 15ML G GER,"R$ 11,99",93.10% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
PENTOXIFILINA 400 MG 30 COMP EMS,PENTOXIFILINA 400MG 30CPD G GER,"R$ 55,33",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
PIROXICAM 20 MG 10 CAPS PHA,PIROXICAM 20MG 10CAP G GER,"R$ 5,00",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
PIROXICAM 20 MG 15 CAPS NEO,PIROXICAM 20MG 15CAP G GER,"R$ 7,17",94.55% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
PITAVASTATINA 2MG C/30 COMP EURO,PITAVASTATINA 2MG 30CPD G GER,"R$ 48,01",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
PRAVASTATINA SOD 10 MG 30 COMP RAN,ROSUVASTATINA CALCICA 10MG 30CPD G GER,"R$ 9,33",92.06% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
PREDNISOLONA 20MG C/10 COMP LEG,PREDNISOLONA 20MG 10CPD G GER,"R$ 6,42",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
PREDNISONA 20 MG 10 COMP BRA,PREDNISONA 20MG 10CPD G GER,"R$ 5,52",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
PREDNISONA 5MG C/20 COMP NEO,PREDNISONA 5MG 20CPD G GER,"R$ 4,72",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
PREGABALINA 150MG C/30 COMP NEO,PREGABALINA 150MG 30CAP (C1) G GER,"R$ 17,65",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
PREGABALINA 75MG C/30 COMP EUR,PREGABALINA 75MG 30CAP (C1) G GER,"R$ 11,88",96.55% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
RISEDRONATO SODICO 35MG C/4 COMP EMS,RISEDRONATO SODICO 35MG 4CPD G GER,"R$ 32,65",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
RISPERIDONA 1 MG 30 ML GER,RISPERIDONA 1MG/ML SL OR 30ML (C1) G GER,"R$ 31,99",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
RIVAROXABANA  10MG C/30 COMP EMS,RIVAROXABANA 10MG 30CPD G GER,"R$ 20,30",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
RIVAROXABANA  20MG C/30 COMP EMS,RIVAROXABANA 20MG 30CPD G GER,"R$ 19,95",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
RIVAROXABANA  15MG C/30 COMP EMS,RIVAROXABANA 15MG 30CPD G GER,"R$ 18,55",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
ROSUVASTATINA 10MG C/30 COMP ALT,ROSUVASTATINA CALCICA 10MG 30CPD G GER,"R$ 9,33",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
ROSUVASTATINA 20MG C/30 COMP TEUTO,ROSUVASTATINA CALCICA 20MG 30CPD G GER,"R$ 15,35",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
SINVASTATINA 20 MG 30 COMP BIO,SINVASTATINA 20MG 30CPD G GER,"R$ 4,64",95.08% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
SINVASTATINA 40MG C/30 COMP SDZ,SINVASTATINA 40MG 30CPD G GER,"R$ 6,93",90.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
TADALAFILA 5MG 30CPD SDZ,TADALAFILA 5MG 30CPD G GER,"R$ 16,40",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
"TIBOLONA 2,5 MG 30 COMP  GERM","TIBOLONA 2,5MG 30CPD G GER","R$ 27,20",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
TINIDAZOL 500 MG 4 COMP EMS,TINIDAZOL 500MG 4CPD G GER,"R$ 12,10",92.59% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
VALSARTANA 160 MG 30 COMP,VALSARTANA 160MG 30CPD G GER,"R$ 24,47",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
VALSARTANA 320 MG 30 COMP NQ,VALSARTANA 320MG 30CPD G GER,"R$ 43,82",94.34% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
ACECLOFENACO 100MG C/12 COMP CIMED,ACECLOFENACO 100MG 1 BL X 12 COMP REV,"R$ 4,99",100.00% (AI + Fuzzy),Tabela  Preços.xlsx
ACICLOVIR 200MG C/30 COMP UNIQ,ACICLOVIR 200 MG COMP 2 BL X 15,"R$ 8,59",100.00% (AI + Fuzzy),Tabela  Preços.xlsx
ALBENDAZOL 400MG C/1 COMP TEU,ALBENDAZOL 400 MG COM MAST  1 BL X 1,"R$ 1,49",100.00% (AI + Fuzzy),Tabela  Preços.xlsx
ATORVASTATINA 10MG C/30 COMP TEU,ATORVASTATINA CALC 10MG COMP REV 2BLX15,"R$ 6,49",100.00% (AI + Fuzzy),Tabela  Preços.xlsx
ATORVASTATINA 20MG C/30 COMP CIMED,ATORVASTATINA CALC 20MG COMP REV 2BLX15,"R$ 6,99",100.00% (AI + Fuzzy),Tabela  Preços.xlsx
ATORVASTATINA 40MG C/30 COMP CIMED,ATORVASTATINA 40MG COMP REV 3BL X 10,"R$ 10,99",96.88% (AI + Fuzzy),Tabela  Preços.xlsx
AZITROMICINA 500MG C/3 COMP TEU,AZITROMICINA 500MG COMP REV 1 BL X 3,"R$ 4,99",90.32% (AI + Fuzzy),Tabela  Preços.xlsx
AZITROMICINA 500MG C/5 COMP CIM,AZITROMICINA 500MG COMP REV 1 BL X 5,"R$ 5,99",100.00% (AI + Fuzzy),Tabela  Preços.xlsx
BES. ANLODIPINO 10MG C/30 COMP TEU,BESILATO DE ANLODIPINO 10MG COMP 1BL X30,"R$ 1,99",94.12% (AI + Fuzzy),Tabela  Preços.xlsx
BES. ANLODIPINO 5MG C/30 COMP,BESILATO DE ANLODIPINO 5MG COMP 1BL X 30,"R$ 1,59",93.94% (AI + Fuzzy),Tabela  Preços.xlsx
CAPTOPRIL 25MG C/30 COMP UQ,CAPTOPRIL 25 MG COMP 1 BL X 30,"R$ 1,99",100.00% (AI + Fuzzy),Tabela  Preços.xlsx
"CARVEDILOL 12,5MG C/30 COMP BIO","CARVEDILOL 12,5MG COMP 2 BL X 15","R$ 4,79",90.32% (AI + Fuzzy),Tabela  Preços.xlsx
